岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
District Manager(执行/高级)地区经理 (MJ002614) ,,,,,杭州,3-5万,2年及以上,本科,无要求,医药代表,团队建设,制药/生物工程,Key Accountabilities,杭州,40.0千元/月,2.0,2.0年,3,['团队建设'],['制药/生物工程']
高级/地区经理DSM-实体瘤（泌尿）-杭州 ,,,,,杭州,3-5万·13薪,10年及以上,本科,无要求,医药代表,500强; 试用期全薪; 上市公司; 领导好,制药/生物工程; 学术推广; 医药代表; 医药销售; 处方药; 学术研讨会; 药企; 三甲医院; 政府事务; 肿瘤药; 肿瘤药物,● 带领团队高效执行市场策略及行动计划，,杭州,40.0千元/月,10.0,10.0年,3,"['500强', '试用期全薪', '上市公司', '领导好']","['制药/生物工程', '学术推广', '医药代表', '医药销售', '处方药', '学术研讨会', '药企', '三甲医院', '政府事务', '肿瘤药', '肿瘤药物']"
保安主管 ,杭州美好物业服务有限公司,民营,150-500人,物业管理/商业中心,杭州-临平区,4-6.5千,2年,高中,无要求,保安经理; 保安,节日福利; 高温补贴; 通讯补贴,长白班; 有保安经验; 退伍军人; 无犯罪记录; 消防设施操作证; 保安证; 普通小区; 物业; 保安; 保安经理; 保安队长; 秩序维护主管,1.负责保安队伍日常管理与培训，根据公司,杭州,23.2千元/月,2.0,2.0年,1,"['节日福利', '高温补贴', '通讯补贴']","['长白班', '有保安经验', '退伍军人', '无犯罪记录', '消防设施操作证', '保安证', '普通小区', '物业', '保安', '保安经理', '保安队长', '秩序维护主管']"
市场/营销/拓展专员 ,贵州徐婉教育咨询有限公司,民营,50-150人,培训机构,杭州-钱塘区,8千-1.2万,1年及以上,大专,无要求,市场/营销/拓展专员,五险一金; 绩效奖金; 年终奖金; 弹性工作; 周末双休; 做五休二,数据分析; 市场营销; 营销; 市场推广; 客户开发; 课程咨询; 维护客户关系; crm; 商务; 营销策略,【工作内容】 1、负责培训机构课程产品的,杭州,10.0千元/月,1.0,1.0年,2,"['五险一金', '绩效奖金', '年终奖金', '弹性工作', '周末双休', '做五休二']","['数据分析', '市场营销', '营销', '市场推广', '客户开发', '课程咨询', '维护客户关系', 'crm', '商务', '营销策略']"
District Manager(执行/高级)地区经理 (MJ002614) ,葛兰素史克（中国）投资有限公司,外资（欧美）,10000人以上,制药/生物工程,杭州,3-5万,2年及以上,本科,无要求,医药代表,团队建设,制药/生物工程,Key Accountabilities,杭州,40.0千元/月,2.0,2.0年,3,['团队建设'],['制药/生物工程']
高级/地区经理DSM-实体瘤（泌尿）-杭州 ,西安杨森制药有限公司,合资,1000-5000人,制药/生物工程,杭州,3-5万·13薪,10年及以上,本科,无要求,医药代表,500强; 试用期全薪; 上市公司; 领导好,制药/生物工程; 学术推广; 医药代表; 医药销售; 处方药; 学术研讨会; 药企; 三甲医院; 政府事务; 肿瘤药; 肿瘤药物,● 带领团队高效执行市场策略及行动计划，,杭州,40.0千元/月,10.0,10.0年,3,"['500强', '试用期全薪', '上市公司', '领导好']","['制药/生物工程', '学术推广', '医药代表', '医药销售', '处方药', '学术研讨会', '药企', '三甲医院', '政府事务', '肿瘤药', '肿瘤药物']"
业务跟单员 ,杭州爱博家具集团有限公司,民营,500-1000人,家居/家具/家电,杭州-建德市,5-6千,1年及以上,大专,英语简单沟通/读写,业务跟单,节日福利; 餐饮补贴; 五险; 包住宿,erp; 国际贸易; 包装; 商务英语; 库存管理; 英语读写; 进出口; 贸易; 外贸跟单; 出货安排,【工作内容】 1、负责订单全流程跟进，从,杭州,28.0千元/月,1.0,1.0年,2,"['节日福利', '餐饮补贴', '五险', '包住宿']","['erp', '国际贸易', '包装', '商务英语', '库存管理', '英语读写', '进出口', '贸易', '外贸跟单', '出货安排']"
婴幼儿华东营销总部上海区域营销代表（杭州） ,内蒙古伊利实业集团股份有限公司,已上市,10000人以上,食品/饮料/粮油,杭州,8千-1.6万,1年及以上,大专,无要求,客户代表,五险一金; 交通补贴; 通讯补贴; 专业培训; 绩效奖金; 年终奖金; 定期体检; 培训,渠道销售; 市场营销能力; 食品/饮料/粮油; 销售; 培训; 市场营销; 团队管理; 出货; 快消品销售; 客户服务; 客情关系; 客情维护; 大润发系统,岗位职责: 1、业务职责:完成业绩目标：,杭州,12.0千元/月,1.0,1.0年,2,"['五险一金', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '培训']","['渠道销售', '市场营销能力', '食品/饮料/粮油', '销售', '培训', '市场营销', '团队管理', '出货', '快消品销售', '客户服务', '客情关系', '客情维护', '大润发系统']"
购物中心招商经理（餐饮） ,杭州运河上街商业企业管理有限公司,民营,50-150人,物业管理/商业中心,杭州-拱墅区,1-1.5万,1年,大专,无要求,招商/租赁/租售,五险一金; 节日福利; 带薪年假; 定期体检; 工龄津贴; 员工活动; 员工生日会,招商经理,负责餐饮业态的招商工作 1、拓展招商渠道,杭州,12.5千元/月,1.0,1.0年,2,"['五险一金', '节日福利', '带薪年假', '定期体检', '工龄津贴', '员工活动', '员工生日会']",['招商经理']
辅助工（拣货员） ,千年舟新材科技集团股份有限公司,民营,1000-5000人,家居/家具/家电,杭州-余杭区,6-7千,1年及以上,高中,无要求,仓储理货员,五险一金; 带薪年假; 绩效奖金; 项目奖金; 专业培训; 定期体检; 有餐补; 交通补贴; 通讯补贴; 定期团建,培训; 管理; 仓储; 叉车证; 拣货; 安全规程; 仓库6s管理; 卫生清理; 收货上架; 地牛,需要有叉车证  工作职责 1、订单拣选协,杭州,33.5千元/月,1.0,1.0年,1,"['五险一金', '带薪年假', '绩效奖金', '项目奖金', '专业培训', '定期体检', '有餐补', '交通补贴', '通讯补贴', '定期团建']","['培训', '管理', '仓储', '叉车证', '拣货', '安全规程', '仓库6s管理', '卫生清理', '收货上架', '地牛']"
纯化助理工程师 II / I-杭州(J23476) ,信达生物制药（苏州）有限公司,已上市,5000-10000人,制药/生物工程,杭州-临平区,6-8千·14薪,1年及以上,大专,无要求,化学实验室研究员,技能培训; 团队活动; 培训; 弹性工作; 五险一金; 专业培训; 餐饮补贴; 年终奖金; 股票期权; 定期体检; 交通补贴,培训; 审计; 预算; sap; 质量管理; capa; 偏差调查; 生产管理; 技能培训; 风险管理,工作职责: 主要工作一：生产管理 具体职,杭州,34.0千元/月,1.0,1.0年,2,"['技能培训', '团队活动', '培训', '弹性工作', '五险一金', '专业培训', '餐饮补贴', '年终奖金', '股票期权', '定期体检', '交通补贴']","['培训', '审计', '预算', 'sap', '质量管理', 'capa', '偏差调查', '生产管理', '技能培训', '风险管理']"
整车售后引导式诊断专家（Contract） ,上海中智项目外包咨询服务有限公司,国企,1000-5000人,化工,杭州,1.8-2.5万,10年及以上,本科,英语听说读写流利,汽车检验/检测,,机械; 项目管理; 汽车; 解决方案; 技术指导; 电路图; 标定; 内容开发; 市场问题处理; dtc,工作内容： 1. 引导式诊断内容开发与审,杭州,21.5千元/月,10.0,10.0年,3,[],"['机械', '项目管理', '汽车', '解决方案', '技术指导', '电路图', '标定', '内容开发', '市场问题处理', 'dtc']"
耳鼻喉东区经理 ,苏州星悦智慧医疗科技有限公司,民营,150-500人,医疗设备/器械,杭州,1.5-2万,2年及以上,大专,无要求,医疗器械销售,培训; 五险一金; 带薪年假; 年终奖金; 专业培训; 定期体检; 有餐补; 带薪病假,手术跟台; 医院拜访; 医疗影像设备; 医疗设备/器械; 经销商管理; 销售; 医学; 市场调研; 销售计划; 市场推广; 护理; 产品销售; 耗材; 耳鼻喉科,岗位职责： 1、负责耳鼻喉产品线销售工作,杭州,17.5千元/月,2.0,2.0年,2,"['培训', '五险一金', '带薪年假', '年终奖金', '专业培训', '定期体检', '有餐补', '带薪病假']","['手术跟台', '医院拜访', '医疗影像设备', '医疗设备/器械', '经销商管理', '销售', '医学', '市场调研', '销售计划', '市场推广', '护理', '产品销售', '耗材', '耳鼻喉科']"
购物中心招商经理（教育培训/娱乐） ,杭州运河上街商业企业管理有限公司,民营,50-150人,物业管理/商业中心,杭州-拱墅区,1-1.5万,1年,大专,无要求,招商/租赁/租售,五险一金; 节日福利; 带薪年假; 定期体检; 工龄津贴; 员工活动; 员工生日会,招商经理,负责教育培训/娱乐业态的招商工作 1、拓,杭州,12.5千元/月,1.0,1.0年,2,"['五险一金', '节日福利', '带薪年假', '定期体检', '工龄津贴', '员工活动', '员工生日会']",['招商经理']
商管项目总 ,,,,,杭州-临平区,2-2.5万,8年及以上,本科,无要求,招商/租赁/租售,五险一金; 绩效奖金; 年终奖金; 节日福利; 双休; 交通补贴,招商; 招商运营; 店总; 项目总,岗位职责： 1.负责商业项目全面营运和管,杭州,22.5千元/月,8.0,8.0年,3,"['五险一金', '绩效奖金', '年终奖金', '节日福利', '双休', '交通补贴']","['招商', '招商运营', '店总', '项目总']"
