岗位名称,公司名称,公司性质,公司规模,所属行业,工作城市,薪资区间,经验要求,学历要求,语言要求,职能类别,岗位标签,关键字,职位信息,城市,薪资_千元月,经验_年_数值,经验_年,学历_等级,岗位标签列表,关键字列表
IT技术高级经理 ,上海高手脉科技有限公司,民营,1000-5000人,电子商务,上海-徐汇区,3.5-4.9万,2年及以上,大专,英语简单沟通/读写,技术经理,五险一金; 绩效奖金; 带薪年假; 员工旅游; 节日福利; 培训; 团建活动; 领导好; 大牛带队; 团队建设; 更多奖金; 低息银行贷款; 多次晋升机会; 国际知名优势,IT技术团队,岗位职责 1.理解“高手脉商城”业务愿景,上海,42.0千元/月,2.0,2.0年,2,"['五险一金', '绩效奖金', '带薪年假', '员工旅游', '节日福利', '培训', '团建活动', '领导好', '大牛带队', '团队建设', '更多奖金', '低息银行贷款', '多次晋升机会', '国际知名优势']",['IT技术团队']
it运维专员7-10k 14薪 ,上海艾施派尔生物科技有限公司,民营,150-500人,投资/融资,上海-徐汇区,7千-1万·14薪,1年及以上,本科,无要求,运维工程师,五险一金; 补充医疗保险; 补充公积金; 通讯补贴; 餐饮补贴; 交通补贴; 年终奖金; 弹性工作; 15天年假; 14-16薪,计算机; linux; windows; 网络; 软件工程; 操作系统; 故障处理; 网络设备; 打印机; 综合布线,岗位职责： 1.负责桌面计算机软硬件（计,上海,8.5千元/月,1.0,1.0年,3,"['五险一金', '补充医疗保险', '补充公积金', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '弹性工作', '15天年假', '14-16薪']","['计算机', 'linux', 'windows', '网络', '软件工程', '操作系统', '故障处理', '网络设备', '打印机', '综合布线']"
IT主管（金山） ,上海史必诺物流设备有限公司,民营,150-500人,机械/设备/重工,上海-金山区,8千-1万,2年,大专,无要求,网络工程师,五险一金; 专业培训; 绩效奖金; 定期体检,运维; erp; 服务器; 计算机; 网络; it; 防火墙; 设备安装; crm,工作内容： 1.服务器维护管理； 2.网,上海,9.0千元/月,2.0,2.0年,2,"['五险一金', '专业培训', '绩效奖金', '定期体检']","['运维', 'erp', '服务器', '计算机', '网络', 'it', '防火墙', '设备安装', 'crm']"
IT主管 ,上海振鼎鸡实业发展有限公司,民营,500-1000人,餐饮业,上海,1-1.1万,5年及以上,大专,无要求,IT技术支持,,餐饮行业; pos系统,岗位职责： 1、负责公司总部和上海门店的,上海,10.5千元/月,5.0,5.0年,2,[],"['餐饮行业', 'pos系统']"
IT-管培生(J11088) ,江苏艾兰得营养品有限公司,民营,1000-5000人,制药/生物工程,上海-浦东新区,9千-1.5万·14薪,无需经验,本科,英语读写熟练,ERP实施顾问,五险一金; 年终奖金; 定期体检; 专业培训; 餐饮补贴; 带薪年假; 节日福利; 周末双休,需求信息收集; 流程梳理; 计算机; 项目文档; it; 数据; 英语,工作职责: 1.主要对接美国工厂IT相关,上海,12.0千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '定期体检', '专业培训', '餐饮补贴', '带薪年假', '节日福利', '周末双休']","['需求信息收集', '流程梳理', '计算机', '项目文档', 'it', '数据', '英语']"
it运维工程师 ,上海启佳信息科技有限公司,民营,计算机软件,,上海-浦东新区,1-1.5万·13薪,1年及以上,本科,无要求,运维工程师,五险一金; 年终奖金; 晋升空间,计算机; 服务器; 网络设备; 系统部署; it运维; it技术支持; 维护监控,【工作内容】 - 负责公司服务器、网络设,上海,12.5千元/月,1.0,1.0年,3,"['五险一金', '年终奖金', '晋升空间']","['计算机', '服务器', '网络设备', '系统部署', 'it运维', 'it技术支持', '维护监控']"
IT专员 ,上海邑通道具股份有限公司,民营,150-500人,装修装饰,上海-奉贤区,7-9千·13薪,1年及以上,本科,英语简单沟通/读写,IT技术支持,五险一金; 年终奖金; 定期体检; 专业培训; 节日福利; 周末双休,财务; erp; 电脑; 运维; 信息管理; 服务; 供应链; 信息系统; 计算机科学; sql数据库,工作职责: 1、负责内部ERP、钉钉OA,上海,39.5千元/月,1.0,1.0年,3,"['五险一金', '年终奖金', '定期体检', '专业培训', '节日福利', '周末双休']","['财务', 'erp', '电脑', '运维', '信息管理', '服务', '供应链', '信息系统', '计算机科学', 'sql数据库']"
交付运维工程师（视联网方向-总部） ,上海共联通信信息发展有限公司,国企,500-1000人,通信/电信/网络设备,上海-浦东新区,1-1.5万,2年及以上,本科,无要求,运维工程师,,计算机; 项目交付; 运维支持; 故障排查; 部署; 安装; 系统故障; 问题定位,【职位描述】 1. 负责视联网平台、软件,上海,12.5千元/月,2.0,2.0年,3,[],"['计算机', '项目交付', '运维支持', '故障排查', '部署', '安装', '系统故障', '问题定位']"
IT主管 ,上海申欧企业发展有限公司,民营,150-500人,快速消费品(食品、饮料、化妆品),上海-嘉定区,7-9千,3-5年,大专,无要求,网络工程师,年终奖金; 绩效奖金; 餐饮补贴; 五险一金,it; 信息管理; 监控系统,岗位职责： 1、系统管理（OA、ERP系,上海,39.5千元/月,4.0,4.0年,2,"['年终奖金', '绩效奖金', '餐饮补贴', '五险一金']","['it', '信息管理', '监控系统']"
技术支持工程师（上海） ,深圳市瑞意博信息技术有限公司,民营,150-500人,仪器仪表/工业自动化,上海-闵行区,7-9千,3年及以上,本科,无要求,售后技术支持工程师,培训; 五险一金; 专业培训; 年终奖金; 交通补贴; 餐饮补贴; 通讯补贴; 出国机会; 绩效奖金,通信/网络设备; 计算机硬件; 医疗设备/器械; 医院; 信息系统; 信息管理; 软件安装; 系统部署; 项目管理,岗位职责要求 1. 熟悉并掌握公司软件系,上海,39.5千元/月,3.0,3.0年,3,"['培训', '五险一金', '专业培训', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴', '出国机会', '绩效奖金']","['通信/网络设备', '计算机硬件', '医疗设备/器械', '医院', '信息系统', '信息管理', '软件安装', '系统部署', '项目管理']"
IT工程师 ,上海金豹实业股份有限公司,民营,150-500人,汽车零配件,上海-金山区,8千-1.5万,1-3年,大专,无要求,运维开发,培训; 五险一金; 带薪年假; 年终奖金; 绩效奖金; 员工旅游; 通讯补贴; 免费工作餐,it,一、岗位职责 1.配合项目负责人对公司信,上海,11.5千元/月,2.0,2.0年,2,"['培训', '五险一金', '带薪年假', '年终奖金', '绩效奖金', '员工旅游', '通讯补贴', '免费工作餐']",['it']
DS1502实施工程师（上海） (职位编号：DS1502) ,上海迪爱斯信息技术有限公司,国企,500-1000人,通信/电信/网络设备,上海-徐汇区,8千-1.2万,2年及以上,本科,无要求,IT技术支持,培训,计算机; linux; windows; 系统集成; 安全员c证; 综合布线,岗位职责： 1、协助部门和系统集成项目经,上海,10.0千元/月,2.0,2.0年,3,['培训'],"['计算机', 'linux', 'windows', '系统集成', '安全员c证', '综合布线']"
IT设备管理维护 ,中国航空无线电电子研究所,国企,1000-5000人,电子/半导体/集成电路,上海-闵行区,1-2万,无需经验,本科,无要求,IT技术支持,五险一金; 定期体检; 周末双休; 补充公积金; 培训,管理; 维修; windows; it; 服务器; 维护; 网络安全; 防火墙; 交换机; 网络设备,岗位职责： 1、负责各类 IT 终端设备,上海,15.0千元/月,0.0,0.0年,3,"['五险一金', '定期体检', '周末双休', '补充公积金', '培训']","['管理', '维修', 'windows', 'it', '服务器', '维护', '网络安全', '防火墙', '交换机', '网络设备']"
IT技术支持 ,上海精测半导体技术有限公司,民营,150-500人,电子技术/半导体/集成电路,上海-青浦区,1-1.5万·15薪,3年及以上,大专,无要求,IT技术支持,年终奖金; 绩效奖金; 定期体检; 补充医疗保险; 节日福利; 周末双休; 节假日福利,计算机; 办公软件; linux; it; tcp; 通信工程; 打印机; 信息技术; 故障排查; 权限管理,岗位职责 负责为全体员工提供高效、专业的,上海,12.5千元/月,3.0,3.0年,2,"['年终奖金', '绩效奖金', '定期体检', '补充医疗保险', '节日福利', '周末双休', '节假日福利']","['计算机', '办公软件', 'linux', 'it', 'tcp', '通信工程', '打印机', '信息技术', '故障排查', '权限管理']"
IT专员 ,大冢（杭州）医药健康有限公司,外资（非欧美）,500-1000人,制药/生物工程,上海-黄浦区,10-15万/年,2年及以上,大专,无要求,网络工程师,五险一金; 绩效奖金; 定期体检; 带薪年假; 节日福利; 通讯补贴; 交通补贴; 周末双休; 补充医疗保险; 做五休二; 补充公积金,计算机; 采购; 自动化; 通信; 网络设备; 信息系统; 设备采购; 会议系统; it管理; 宽带网络,岗位职责： 根据公司管理规定，对IT管理,上海,10.4千元/月,2.0,2.0年,2,"['五险一金', '绩效奖金', '定期体检', '带薪年假', '节日福利', '通讯补贴', '交通补贴', '周末双休', '补充医疗保险', '做五休二', '补充公积金']","['计算机', '采购', '自动化', '通信', '网络设备', '信息系统', '设备采购', '会议系统', 'it管理', '宽带网络']"
it运维工程师 ,上海慕岐科技有限公司,民营,50-150人,政府/公共事业,上海-闵行区,8千-1.2万,1年及以上,本科,无要求,运维工程师,五险一金; 绩效奖金; 专业培训; 定期团建,linux; shell; 计算机网络; it; 维护; tcp; 防火墙; 交换机; 网络维护; wifi,岗位职责： （1）网络管理与维护： 负,上海,10.0千元/月,1.0,1.0年,3,"['五险一金', '绩效奖金', '专业培训', '定期团建']","['linux', 'shell', '计算机网络', 'it', '维护', 'tcp', '防火墙', '交换机', '网络维护', 'wifi']"
总行-信息科技岗（信息安全） ,国泰世华银行（中国）有限公司,外资（非欧美）,150-500人,银行,上海-浦东新区,8千-1.6万,1年及以上,本科,无要求,网络安全工程师,五险一金; 年终奖金; 定期体检; 专业培训; 餐饮补贴; 补充医疗保险; 节日福利,计算机; 信息系统; 安全评审; 信息安全; 安全测试,工作职责 1、配合信息安全风险体系建设的,上海,12.0千元/月,1.0,1.0年,3,"['五险一金', '年终奖金', '定期体检', '专业培训', '餐饮补贴', '补充医疗保险', '节日福利']","['计算机', '信息系统', '安全评审', '信息安全', '安全测试']"
IT专员 ,上海育莘教育科技发展有限公司,民营,少于50人,教育/培训/院校,上海-闵行区,8千-1万,3-4年,本科,无要求,网络工程师,五险一金,计算机; 网络设备; 维护管理; 网络协议,工作职责：  1、集团办公室以及下属幼儿,上海,9.0千元/月,3.5,3.5年,3,['五险一金'],"['计算机', '网络设备', '维护管理', '网络协议']"
上海研发中心IT运维 ,太原重型机械集团有限公司,国企,1000-5000人,机械/设备/重工,上海-浦东新区,7-8千,3年及以上,本科,无要求,IT技术支持,五险一金; 缴纳五险; 员工宿舍; 员工食堂; 租房补贴; 补贴,办公软件; 调试; 计算机网络; 维护; 交换机,一、岗位要求 1、统招一本及以上学历，三,上海,39.0千元/月,3.0,3.0年,3,"['五险一金', '缴纳五险', '员工宿舍', '员工食堂', '租房补贴', '补贴']","['办公软件', '调试', '计算机网络', '维护', '交换机']"
IT工程师 ,上海德祺顺精密机械设备有限公司,民营,50-150人,电子技术/半导体/集成电路,上海-浦东新区,8千-1.2万,2年及以上,,无要求,IT技术支持,五险一金; 年终奖金; 加班补贴; 餐饮补贴; 商业保险; 节日福利; 带薪年假; 定期体检; 专业培训; 工作餐; 绩效奖金,erp; 金蝶; 服务器; 安全; 信息系统; it; 制造行业; 邮箱; 运营维护; 网络,岗位职责： 1. 协助管理公司的IT基础,上海,10.0千元/月,2.0,2.0年,0,"['五险一金', '年终奖金', '加班补贴', '餐饮补贴', '商业保险', '节日福利', '带薪年假', '定期体检', '专业培训', '工作餐', '绩效奖金']","['erp', '金蝶', '服务器', '安全', '信息系统', 'it', '制造行业', '邮箱', '运营维护', '网络']"
IT工程师（网络） ,上海谷英人力资源服务有限公司,外资（欧美）,仪器仪表/工业自动化,,上海-浦东新区,9千-1.3万·15薪,1-3年,本科,日语读写熟练,网络工程师,五险一金; 免费班车; 员工旅游; 交通补贴; 餐饮补贴; 通讯补贴; 专业培训; 绩效奖金; 年终奖金; 定期体检; 培训; 日企经验,项目管理; 安全管理; 供应商管理; it; 安全; 硬件; 信息系统; 故障排除; 系统管理; 综合管理,【职位名称】IT工程师（网络） 【工作内,上海,11.0千元/月,2.0,2.0年,3,"['五险一金', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '培训', '日企经验']","['项目管理', '安全管理', '供应商管理', 'it', '安全', '硬件', '信息系统', '故障排除', '系统管理', '综合管理']"
IT工程师/技术支持 ,上海信鸿实业（集团）有限公司,民营,150-500人,建筑/建材/工程,上海-徐汇区,1-1.3万,5-7年,大专,英语良好,IT技术支持,五险一金; 通讯补贴,计算机; 网络平台; 网络维护; 操作系统,1. 负责操作系统、应用软件、邮件、打印,上海,11.5千元/月,6.0,6.0年,2,"['五险一金', '通讯补贴']","['计算机', '网络平台', '网络维护', '操作系统']"
系统工程师 ,索利通网络系统（上海）有限公司,外资（非欧美）,少于50人,计算机服务(系统、数据服务、维修),上海-徐汇区,1-1.2万,1年及以上,大专,英语简单沟通/读写,系统工程师,五险一金,微软云; Windows; dell存储; M365,1、备份 BE或者VEEAM的备份产品运,上海,11.0千元/月,1.0,1.0年,2,['五险一金'],"['微软云', 'Windows', 'dell存储', 'M365']"
IT技术支持 ,河北东兴玻璃有限公司,民营,50-150人,原材料和加工,上海-浦东新区,8千-1.2万,3年及以上,本科,无要求,IT技术支持,,办公软件; 电脑; 网络; 软件; 操作系统; 故障排查; 现场支持; 技术支持维护; 计算机硬件,【工作内容】 - 负责公司内部员工的电脑,上海,10.0千元/月,3.0,3.0年,3,[],"['办公软件', '电脑', '网络', '软件', '操作系统', '故障排查', '现场支持', '技术支持维护', '计算机硬件']"
金蝶实施 ,上海施福圣科技有限公司,民营,50-150人,计算机服务,上海-长宁区,1-1.5万,3年及以上,本科,英语读写熟练,ERP实施顾问,培训; 五险一金; 弹性工作; 年终奖金,财务; 金蝶; 用户培训; 供应链; 数据初始化; 问题支持,岗位职责： 1. 负责金蝶系统（尤其是金,上海,12.5千元/月,3.0,3.0年,3,"['培训', '五险一金', '弹性工作', '年终奖金']","['财务', '金蝶', '用户培训', '供应链', '数据初始化', '问题支持']"
IT工程师 ,上海集成电路材料研究院有限公司,国企,50-150人,其他专业服务,上海-浦东新区,7千-1万,3年及以上,本科,无要求,网络工程师,,计算机; mysql; oracle; 数据库; 数据分析; erp; 运维; mes; 网络安全; 数据采集,岗位职责： 1、IT基础架构的方案制定和,上海,8.5千元/月,3.0,3.0年,3,[],"['计算机', 'mysql', 'oracle', '数据库', '数据分析', 'erp', '运维', 'mes', '网络安全', '数据采集']"
IT运维专员 ,大佳田（上海）技术有限公司,民营,150-500人,电子技术/半导体/集成电路,上海-嘉定区,7-9千·13薪,1年及以上,大专,英语,运维工程师,,计算机; erp; 网络; 运维; it,信息化运维专员 岗位职责 1. 负责公司,上海,39.5千元/月,1.0,1.0年,2,[],"['计算机', 'erp', '网络', '运维', 'it']"
IT工程师 ,上海碧博生物医药科技有限公司,民营,500-1000人,制药/生物工程,上海-奉贤区,1-1.5万·14薪,5年及以上,大专,无要求,IT技术支持,五险一金; 绩效奖金; 专业培训; 定期体检; 带薪年假; 通讯补贴; 交通补贴; 周末双休; 节假日福利; 项目奖金; 租房补贴,IT; 网络设备; 网络系统; 计算机,岗位职责： 1、负责办公电脑、服务器安装,上海,12.5千元/月,5.0,5.0年,2,"['五险一金', '绩效奖金', '专业培训', '定期体检', '带薪年假', '通讯补贴', '交通补贴', '周末双休', '节假日福利', '项目奖金', '租房补贴']","['IT', '网络设备', '网络系统', '计算机']"
it工程师 ,海默新宸水下技术（上海）有限公司,民营,电气/电力/水利电子技术/半导体/集成电路,,上海-浦东新区,8千-1.2万·13薪,5年及以上,本科,无要求,网络工程师,培训,计算机; 办公软件; erp; 服务器; 网络安全; 交换机; 系统维护; 数据管理; 监控系统; 网络管理,【工作内容】 1、负责公司整体网络系统、,上海,10.0千元/月,5.0,5.0年,3,['培训'],"['计算机', '办公软件', 'erp', '服务器', '网络安全', '交换机', '系统维护', '数据管理', '监控系统', '网络管理']"
IT工程师（上海） ,苏州顺芯半导体有限公司,合资,少于50人,电子/半导体/集成电路,上海-徐汇区,8千-1.5万,无需经验,本科,无要求,网络工程师,五险一金; 年终奖金; 定期体检; 餐饮补贴; 带薪年假; 节日福利; 周末双休,调试; 安全管理; 运维; 文档编写; 网络安全; 防火墙; 电子信息工程; 交换机; 通信工程; 网络设备,主要职责 1.规划与设计：参与设计和规划,上海,11.5千元/月,0.0,0.0年,3,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '带薪年假', '节日福利', '周末双休']","['调试', '安全管理', '运维', '文档编写', '网络安全', '防火墙', '电子信息工程', '交换机', '通信工程', '网络设备']"
IT ,泰缇智造科技（江苏）有限公司,民营,150-500人,装修装饰,上海-闵行区,8千-1万,2年及以上,大专,无要求,IT技术支持,五险一金,故障排除; 数据安全; 门禁系统; 会议系统; 局域网; 邮件服务器; 打印服务器; 计算机; 网络; 监控系统,IT主要职责：  1、日常IT运维支持 ,上海,9.0千元/月,2.0,2.0年,2,['五险一金'],"['故障排除', '数据安全', '门禁系统', '会议系统', '局域网', '邮件服务器', '打印服务器', '计算机', '网络', '监控系统']"
系统运维资深/主任工程师 ,上海华力集成电路制造有限公司,国企,1000-5000人,电子/半导体/集成电路,上海-浦东新区,,1年及以上,本科,无要求,系统工程师,五险一金; 免费班车; 餐饮补贴; 绩效奖金; 年终奖金; 定期体检; 五险一金; 补充医疗保险; 餐饮补贴; 专业培训; 绩效奖金; 年终奖金; 定期体检,linux; 自动化; 运维; 服务器; 测试环境; 中间件; 系统维护; 系统运维; 运维管理; 自动化脚本,岗位职责: 1、负责IT基础设施（包括服,上海,,1.0,1.0年,3,"['五险一金', '免费班车', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检', '五险一金', '补充医疗保险', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","['linux', '自动化', '运维', '服务器', '测试环境', '中间件', '系统维护', '系统运维', '运维管理', '自动化脚本']"
IT技术支持/ 网络维护工程师 ,上海沣海智能科技有限公司,合资,150-500人,计算机软件,上海-闵行区,0.8-1万,2年,本科,无要求,IT技术支持; 网络工程师,,IT技术支持; 网络维护; 网关; 运维; it; 系统,岗位职责： 1、系统管理：维护业务系统（,上海,9.0千元/月,2.0,2.0年,3,[],"['IT技术支持', '网络维护', '网关', '运维', 'it', '系统']"
IT Engineer 信息技术工程师 ,萨玛赛亚森汽车系统（上海）有限公司,外资（欧美）,150-500人,汽车,上海-奉贤区,6千-1万·13薪,1年及以上,本科,英语读写熟练,网络工程师,五险一金; 补充医疗保险; 员工旅游; 交通补贴; 通讯补贴; 出国机会; 弹性工作; 定期体检; 年终奖金; 专业培训,linux; edi; hardware; invoicing; ms; office; unix; foss; purchase; software,Responsibilities: 1.,上海,8.0千元/月,1.0,1.0年,3,"['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '通讯补贴', '出国机会', '弹性工作', '定期体检', '年终奖金', '专业培训']","['linux', 'edi', 'hardware', 'invoicing', 'ms', 'office', 'unix', 'foss', 'purchase', 'software']"
网络管理 ,中国银联股份有限公司,国企,1000-5000人,金融/投资/证券,上海-浦东新区,,2年及以上,本科,无要求,网络工程师,,计算机; 运营; 运营管理; 软件工程; 电子信息; 理工; 网络安全; 通信工程; 问题处理; 应急处理,岗位职责: 1.负责数据中心网络设施设备,上海,,2.0,2.0年,3,[],"['计算机', '运营', '运营管理', '软件工程', '电子信息', '理工', '网络安全', '通信工程', '问题处理', '应急处理']"
HELPDESK 值班运维工程师(J10221) ,天盛方储技术（上海）有限公司,民营,电子/半导体/集成电路,,上海-浦东新区,8千-1万·15薪,1年及以上,本科,英语简单沟通/读写,运维工程师,,计算机; 英语; it; 理工; mes; mes系统; 四级,工作职责: 1. 接听MRDIT服务专线,上海,9.0千元/月,1.0,1.0年,3,[],"['计算机', '英语', 'it', '理工', 'mes', 'mes系统', '四级']"
it运维助理 (职位编号：2026001) ,协同油脂润滑工程（上海）有限公司,外资（非欧美）,少于50人,石油/石化,上海,7-9千·14薪,1年及以上,大专,日语读写熟练,运维工程师,五险一金; 年终奖金; 定期体检; 餐饮补贴; 带薪年假; 员工旅游; 交通补贴; 周末双休; 节日福利; 弹性工作; 定期团建; 培训,计算机; 数据库; erp; ps; js; windows; 网络; c#; 日语; it,【工作内容】 - 负责长宁办公室信息系统,上海,39.5千元/月,1.0,1.0年,2,"['五险一金', '年终奖金', '定期体检', '餐饮补贴', '带薪年假', '员工旅游', '交通补贴', '周末双休', '节日福利', '弹性工作', '定期团建', '培训']","['计算机', '数据库', 'erp', 'ps', 'js', 'windows', '网络', 'c#', '日语', 'it']"
it技术支持 ,上海紫竹国际教育园区有限公司,合资,50-150人,教育/培训/院校,上海-闵行区,7-9千·13薪,1年及以上,本科,英语听说读写流利,IT技术支持,,调试; 英语; 电脑; windows; 盘点; 运维; it; 维护; 打印机; 计算机软硬件,岗位职责： 1、维护教学多媒体系统，保证,上海,39.5千元/月,1.0,1.0年,3,[],"['调试', '英语', '电脑', 'windows', '盘点', '运维', 'it', '维护', '打印机', '计算机软硬件']"
ERP实施助理 ,上海翊码信息科技有限公司,民营,少于50人,计算机软件,上海-松江区,7千-1万,2年及以上,大专,普通话简单沟通/读写,ERP实施顾问,五险一金; 年终奖金; 绩效奖金; 专业培训; 员工旅游; 通讯补贴; 交通补贴; 节日福利; 带薪年假; 周末双休; 做五休二; 零食下午茶,计算机; erp; it; 企业管理; 信息管理; 系统维护,岗位职责： 1.协助ERP的现场实施服务,上海,8.5千元/月,2.0,2.0年,2,"['五险一金', '年终奖金', '绩效奖金', '专业培训', '员工旅游', '通讯补贴', '交通补贴', '节日福利', '带薪年假', '周末双休', '做五休二', '零食下午茶']","['计算机', 'erp', 'it', '企业管理', '信息管理', '系统维护']"
开发工程师（金蝶） ,上海比科翱商贸发展有限公司,民营,500-1000人,计算机服务(系统、数据服务、维修),上海-浦东新区,7-9千,3年及以上,本科,无要求,运维开发,,金蝶; 信息管理; 解决方案; 流程优化; 系统优化; 故障排查; 数据维护; 系统配置,岗位职责： 1.核心系统运维与支持 负责,上海,39.5千元/月,3.0,3.0年,3,[],"['金蝶', '信息管理', '解决方案', '流程优化', '系统优化', '故障排查', '数据维护', '系统配置']"
财务经理 ,嘉驰英才（上海）信息科技有限公司,民营,10000人以上,制药/生物工程,上海-徐汇区,2-2.5万·13薪,5年及以上,本科,无要求,财务经理,五险一金; 带薪年假; 带薪病假; 项目奖金; 专业培训; 定期团建,金蝶; 用友; 易飞ERP; 全职; 双休; 财务; 预算; 财务管理; 团队管理; 税务; 纳税申报; 结账; 成本管控; 税务筹划; 审批,​​​岗位职责 1、账务与报表管理：统筹,上海,22.5千元/月,5.0,5.0年,3,"['五险一金', '带薪年假', '带薪病假', '项目奖金', '专业培训', '定期团建']","['金蝶', '用友', '易飞ERP', '全职', '双休', '财务', '预算', '财务管理', '团队管理', '税务', '纳税申报', '结账', '成本管控', '税务筹划', '审批']"
技术支持工程师(TLD04I12) ,福建顶点软件股份有限公司,已上市,1000-5000人,计算机软件,上海,1-1.6万,1年及以上,本科,无要求,IT技术支持,专业培训; 节日福利; 培训; 六险一金; 电脑补贴; 结婚礼金,计算机; mysql; oracle; 数据库; linux; 需求分析; c++; 项目实施,岗位职责: 1、负责金融证券行业交易类项,上海,13.0千元/月,1.0,1.0年,3,"['专业培训', '节日福利', '培训', '六险一金', '电脑补贴', '结婚礼金']","['计算机', 'mysql', 'oracle', '数据库', 'linux', '需求分析', 'c++', '项目实施']"
IT 电脑网络维护工程师 ,优月仓储（上海）有限公司,外资（非欧美）,50-150人,化工,上海-金山区,8千-1万,3年及以上,本科,无要求,IT技术支持,五险一金; 交通补贴; 通讯补贴; 年终奖金; 定期体检; 高温补贴; 带薪年假; 双休,电脑; 操作系统; 网络安全; 网络设备; 维护管理; 故障排查; 信息设备; 网络故障排查,工作内容： - 负责公司弱电设备的维护和,上海,9.0千元/月,3.0,3.0年,3,"['五险一金', '交通补贴', '通讯补贴', '年终奖金', '定期体检', '高温补贴', '带薪年假', '双休']","['电脑', '操作系统', '网络安全', '网络设备', '维护管理', '故障排查', '信息设备', '网络故障排查']"
IT技术支持专员（驻场服务岗） ,中以联科电子安装工程（北京）有限公司,外资（欧美）,150-500人,建筑/建材/工程,上海,8千-1万,1年及以上,大专,无要求,IT技术支持,培训,计算机; 调试; windows; 网络; 安装; it; 维护; crm; tcp; 网络安全,核心职责  - 硬件支持：负责计算机、打,上海,9.0千元/月,1.0,1.0年,2,['培训'],"['计算机', '调试', 'windows', '网络', '安装', 'it', '维护', 'crm', 'tcp', '网络安全']"
IT专员 ,上海市民办协和双语学校,非营利组织,150-500人,院校,上海-闵行区,9千-1.2万,无需经验,大专,英语简单沟通/读写,网络工程师,年终奖金; 定期体检; 餐饮补贴; 交通补贴; 周末双休; 免费班车; 寒暑假,计算机; 数据库; 电脑; 维护,岗位职责 1. 负责学校硬件设备（电脑、,上海,10.5千元/月,0.0,0.0年,2,"['年终奖金', '定期体检', '餐饮补贴', '交通补贴', '周末双休', '免费班车', '寒暑假']","['计算机', '数据库', '电脑', '维护']"
CTO/CIO ,上海光正新视界眼科医院投资有限公司,民营,1000-5000人,医疗/护理/卫生,上海-静安区,3-6万,5-10年,本科,无要求,首席技术执行官CTO,,ai应用,经验：AI应用、智能体搭建、数据集成处理,上海,45.0千元/月,7.5,7.5年,3,[],['ai应用']
IT技术工程师 ,锐奇控股股份有限公司,已上市,500-1000人,机械/设备/重工,上海-松江区,8千-1.2万·13薪,3年及以上,大专,无要求,IT技术支持,,计算机; mysql; oracle; 数据库; linux; 采购; windows; 资产管理; 增删改查; 信息管理,岗位职责： 1. 内部网络与基础设施运维,上海,10.0千元/月,3.0,3.0年,2,[],"['计算机', 'mysql', 'oracle', '数据库', 'linux', '采购', 'windows', '资产管理', '增删改查', '信息管理']"
助理交付经理 ,上海艾策通讯科技股份有限公司,民营,150-500人,云计算/大数据,上海-徐汇区,1.5-1.8万·13薪,1年及以上,大专,英语简单沟通/读写,项目执行/协调人员,五险一金; 餐饮补贴; 通讯补贴; 交通补贴; 员工旅游; 绩效奖金; 年终奖金; 出差补贴; 零食下午茶; 有餐补,软件开发; 计算机; 电子; 通信; 项目实施; 服务器; 云计算; 质量管控; 用户手册; 项目交付; it基础架构,【职位描述】 本职位负责在大型项目中承担,上海,16.5千元/月,1.0,1.0年,2,"['五险一金', '餐饮补贴', '通讯补贴', '交通补贴', '员工旅游', '绩效奖金', '年终奖金', '出差补贴', '零食下午茶', '有餐补']","['软件开发', '计算机', '电子', '通信', '项目实施', '服务器', '云计算', '质量管控', '用户手册', '项目交付', 'it基础架构']"
IT网络管理员 ,迈瑞尔实验设备（上海）有限公司,合资,150-500人,石油/石化,上海-闵行区,8千-1.5万,3年及以上,大专,无要求,网络工程师,培训; 五险一金; 员工旅游; 餐饮补贴; 通讯补贴; 专业培训; 绩效奖金; 年终奖金; 定期体检,sap; 网络安全; 网络维护; 网络设备; 爬虫; it; 服务器; 维护; 交换机,1、负责建立网络管理制度，编制并执行PC,上海,11.5千元/月,3.0,3.0年,2,"['培训', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']","['sap', '网络安全', '网络维护', '网络设备', '爬虫', 'it', '服务器', '维护', '交换机']"
IT运维工程师 ,上海海昌计算机有限公司,民营,少于50人,计算机服务(系统、数据服务、维修),上海-长宁区,8千-1万,2年及以上,大专,无要求,运维工程师,五险一金; 通讯补贴; 年终奖金; 绩效奖金; 免费午餐,笔记本、PC等,1、熟悉IT技术产品信息，为客户提供IT,上海,9.0千元/月,2.0,2.0年,2,"['五险一金', '通讯补贴', '年终奖金', '绩效奖金', '免费午餐']",['笔记本、PC等']
